t_s;V'O2;V'CO2
0;1,0428;0,882666667
3,8;1,041;0,882466667
6,3;1,040266667;0,880133333
8,8;1,0318;0,872133333
11,5;1,038466667;0,8776
14,1;1,0286;0,873266667
16,7;1,009533333;0,857866667
19,5;1,004133333;0,8524
22,1;1,0014;0,848133333
24,8;0,997866667;0,8434
27,6;0,9932;0,836733333
32,7;0,985266667;0,827133333
35,4;0,980666667;0,819733333
37,8;0,9904;0,8252
40,2;1,0056;0,835466667
42,6;1,025133333;0,8502
44,9;1,042466667;0,862
47,3;1,0528;0,8724
49,7;1,056733333;0,8768
52,2;1,0548;0,875
54,8;1,062266667;0,8778
57,1;1,0554;0,868866667
58,9;1,073466667;0,880333333
61,6;1,087533333;0,891466667
63,9;1,090666667;0,893133333
66,3;1,101666667;0,900933333
68,8;1,101866667;0,901466667
72,7;1,113866667;0,914466667
75,4;1,103466667;0,907733333
78,2;1,072066667;0,881533333
80,8;1,064533333;0,874533333
83,3;1,0544;0,8676
86,2;1,0514;0,863666667
89,2;1,0534;0,864266667
92,2;1,069533333;0,877866667
95,5;1,074933333;0,882533333
98,2;1,101333333;0,9076
101,7;1,0884;0,902
104,3;1,0816;0,900133333
107;1,0812;0,903333333
109,5;1,060666667;0,8882
112;1,045333333;0,876866667
114,5;1,060733333;0,8882
117,1;1,078533333;0,9032
119,8;1,097933333;0,921866667
122,6;1,101066667;0,9298
125,5;1,085733333;0,920466667
129,5;1,080333333;0,918666667
132,7;1,0646;0,906466667
134,9;1,052466667;0,899666667
137,5;1,0356;0,885466667
140,7;1,027466667;0,878333333
143,7;1,019066667;0,869333333
146,2;1,023066667;0,870866667
149,3;1,0278;0,8738
153,8;1,033466667;0,879066667
156,2;1,037466667;0,8836
158,6;1,006533333;0,8604
161,2;0,990666667;0,848666667
163,7;0,975866667;0,8362
166;0,9748;0,832333333
168,5;0,977333333;0,831933333
171;0,971066667;0,8252
173,4;0,9912;0,841466667
175,7;0,9884;0,837266667
178,3;0,989466667;0,838333333
180,5;0,978533333;0,828
182,9;0,983466667;0,832266667
185,6;0,973066667;0,8224
187,9;0,986;0,8324
190,3;0,996266667;0,840733333
192,6;1,015933333;0,858666667
195;1,0196;0,861733333
197,4;1,0282;0,871933333
200;1,0366;0,879533333
202,5;1,0154;0,8622
204,4;1,013466667;0,860666667
206,7;1,009933333;0,8574
209,3;1,0062;0,853933333
212,8;1,0014;0,849733333
215,2;1,0022;0,849266667
217,6;0,992;0,839933333
220,2;1,018733333;0,8578
222,7;1,0358;0,871133333
225,2;1,013933333;0,8532
228,5;0,994333333;0,835733333
231;0,9812;0,822933333
235,2;0,983466667;0,822
237,3;0,9768;0,811066667
239,3;0,987133333;0,817133333
242;1,007733333;0,835866667
244,4;1,019133333;0,845866667
247,8;1,0302;0,854333333
250,4;1,039266667;0,8624
252,8;1,0508;0,876666667
255,4;1,040466667;0,8692
258,7;1,0724;0,896666667
261,1;1,068733333;0,896466667
263,7;1,081;0,91
266,3;1,093866667;0,921933333
270,6;1,1196;0,944333333
273,3;1,141;0,962266667
275,5;1,1522;0,975466667
277,5;1,170133333;0,993066667
279,8;1,1804;1,006666667
282,3;1,1976;1,0216
284,6;1,216;1,041933333
286,8;1,2226;1,053666667
289,1;1,236533333;1,0716
291,1;1,238133333;1,075333333
293,2;1,266066667;1,104533333
295,6;1,246866667;1,0916
298,2;1,238933333;1,090266667
301;1,232266667;1,0904
303;1,2266;1,09
305,3;1,231533333;1,095
307,6;1,246466667;1,1134
